Title,Media URL,Pinterest board,Description,Link
Collie Dad ER Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96c2f6b9e0a45440d6efe/18542/102044/collie-dad-er-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Collie Dads who are also ER Nurses. The perfect gift for a er nurse who loves his dog.",
Sheltie Mom School Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96c48d35fa65f72092424/18102/102044/sheltie-mom-school-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Sheltie Moms who are also School Nurses. The perfect gift for a school nurse who loves her dog.",https://pawsandscrubs.printify.me/product/32004673
Whippet Dad RN Life Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96c6030c34efba50e5363/18542/102044/whippet-dad-rn-life-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Whippet Dads who are also RN Lifes. The perfect gift for a rn life who loves his dog.",https://pawsandscrubs.printify.me/product/32004682
Greyhound Mom Trauma Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96c783e03f0f2f50d2ded/18102/102044/greyhound-mom-trauma-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Greyhound Moms who are also Trauma Nurses. The perfect gift for a trauma nurse who loves her dog.",
Basenji Dad Recovery Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96c8e1c7ac68dd8078309/18542/102044/basenji-dad-recovery-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Basenji Dads who are also Recovery Nurses. The perfect gift for a recovery nurse who loves his dog.",https://pawsandscrubs.printify.me/product/32004702
Jack Russell Terrier Mom Case Manager Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96ca5bfc3d647280afae9/18102/102044/jack-russell-terrier-mom-case-manager-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Jack Russell Terrier Moms who are also Case Manager Nurses. The perfect gift for a case manager nurse who loves her dog.",https://pawsandscrubs.printify.me/product/32004716
West Highland Terrier Dad Nurse Educator Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96cbd59e0e809f608a4b4/18542/102044/west-highland-terrier-dad-nurse-educator-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for West Highland Terrier Dads who are also Nurse Educators. The perfect gift for a nurse educator who loves his dog.",
Scottish Terrier Mom Wound Care Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96cd51897fada38065746/18102/102044/scottish-terrier-mom-wound-care-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Scottish Terrier Moms who are also Wound Care Nurses. The perfect gift for a wound care nurse who loves her dog.",https://pawsandscrubs.printify.me/product/32004735
Bull Terrier Dad Telemetry Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96cebb88b6653b10b7ce2/18542/102044/bull-terrier-dad-telemetry-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Bull Terrier Dads who are also Telemetry Nurses. The perfect gift for a telemetry nurse who loves his dog.",https://pawsandscrubs.printify.me/product/32004740
Mastiff Mom Infusion Nurse Shirt - Dog Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96d03d7d46f9f2300b3fd/18102/102044/mastiff-mom-infusion-nurse-shirt-dog-gift-nursing-tee.jpg?camera_label=front-2,Dog Nurse Gifts,"A soft, comfy unisex tee for Mastiff Moms who are also Infusion Nurses. The perfect gift for a infusion nurse who loves her dog.",https://pawsandscrubs.printify.me/product/32004747
Russian Blue Cat Mom Telemetry Nurse Shirt - Cat Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96d1b59e0e809f608a4ef/18102/102044/russian-blue-cat-mom-telemetry-nurse-shirt-cat-gift-nursing-tee.jpg?camera_label=front-2,Cat Nurse Gifts,"A soft, comfy unisex tee for Russian Blue Cat Moms who are also Telemetry Nurses. The perfect gift for a telemetry nurse who loves her cat.",https://pawsandscrubs.printify.me/product/32004753
Scottish Fold Cat Mom Infusion Nurse Shirt - Cat Gift Nursing Tee,https://images-api.printify.com/mockup/6aa96d33f6af14e17e06dc48/18542/102044/scottish-fold-cat-mom-infusion-nurse-shirt-cat-gift-nursing-tee.jpg?camera_label=front-2,Cat Nurse Gifts,"A soft, comfy unisex tee for Scottish Fold Cat Moms who are also Infusion Nurses. The perfect gift for a infusion nurse who loves her cat.",https://pawsandscrubs.printify.me/product/32004756
